n_head,n_layer,n_embd,learning_rate,dropout,iteration,best_val_loss,best_val_loss_iter,best_train_loss,best_train_loss_iter
3,6,360,0.00011487931586491437,0.37738047018188425,150,0.007823979689015282,138,0.006740669086058106,146
10,8,420,7.772392463966911e-05,0.3652047954630329,-1,-1,-1,-1,-1
6,10,180,1.630007365521738e-05,0.23467954802552377,260,0.008446186987890137,248,0.007848865391376117,254
2,9,450,1.8351743936945393e-05,0.38482574841343165,-1,-1,-1,-1,-1
4,12,140,4.6839889054118116e-05,0.478305948129254,164,0.00941950072430902,152,0.0090378353294606,152
12,6,480,8.82772787314588e-05,0.46556701389996313,172,0.007947351576553451,160,0.006752254376705322,172
10,6,380,0.0006864582201475325,0.053950106871014814,108,0.007425934024569061,96,0.003996694919704977,108
10,2,140,2.4826768963166714e-05,0.30385228580709456,328,0.009368428753481971,316,0.008961694121050337,316
6,3,270,0.00024537273102379217,0.099797477068654,78,0.007932110637840297,66,0.006716740576343404,76
1,3,300,0.0001600473067211132,0.0226217696655166,96,0.008099261153903272,84,0.006383060619959401,96
5,7,300,4.7853253349074464e-05,0.489842011006037,94,0.009233574176000224,82,0.008859761434400247,82
8,12,200,5.6428337260185066e-05,0.19728031012733194,-1,-1,-1,-1,-1
5,10,480,0.0006965454652204593,0.45493747603126206,-1,-1,-1,-1,-1
6,10,480,7.763531125910937e-05,0.2509211929664993,-1,-1,-1,-1,-1
6,9,270,0.0004167632981887138,0.21753427532232306,94,0.007540216979881127,82,0.005731918525675105,92
5,11,460,9.70730851909714e-05,0.12384553191428072,-1,-1,-1,-1,-1
5,3,200,0.0006424010317032584,0.07881481585816286,110,0.007645457724316252,98,0.005839653494250443,106
4,10,440,0.0006966162991557238,0.17692383985286692,-1,-1,-1,-1,-1
12,4,420,4.513876810818839e-05,0.4087322299158287,118,0.008597196700672308,106,0.00807571412426316,106
12,8,420,2.2970712505746415e-05,0.0734335943141875,-1,-1,-1,-1,-1
8,3,160,9.483919558848648e-05,0.40060751265233613,148,0.008962184915112125,136,0.008512279665511515,136
3,5,270,0.0005543251700495459,0.0837541858327745,104,0.0075086225858993,92,0.005110954012100895,98
10,4,380,3.1586479554756574e-05,0.033408132443762895,210,0.0078020171883205576,198,0.005907856315995256,210
3,11,450,3.534873771361811e-05,0.48950860796148393,-1,-1,-1,-1,-1
4,4,360,0.00022865752689735322,0.25921808538804475,128,0.007619040811227428,116,0.005921116008216308,128
6,4,240,0.00048501879593249595,0.0082934015156933,100,0.007802305380917258,88,0.004989679333650404,100
6,8,360,6.993576752193693e-05,0.21086021263767213,164,0.007608618173334334,152,0.005984561854145593,164
12,4,360,2.622768761065161e-05,0.21565686684710378,138,0.008378154701656766,126,0.007729507025538219,138
2,7,210,0.0005169895758899669,0.30478870523108376,124,0.007679292828672462,112,0.006320769419997103,118
